shape_id,baseline,candidate,boundary,baseline_status,candidate_status,ratio,ci95,classification
gc_ae2de9fe773a1e34,torch_cuda_tuned,k3,t_device_op_graph_us,PASS,PASS,1.7049601862672217,"[1.6972729887648583, 1.7161801902109786]",WIN
gc_ae2de9fe773a1e34,torch_cuda_tuned,k3,t_api_us,PASS,PASS,0.7636285809677127,"[0.7371482107956584, 0.7916052197551573]",LOSS
gc_be9772e9b79ddcc0,k0,k1,t_device_op_graph_us,PASS,PASS,2.9775206488055086,"[2.97265322865976, 2.989480634801257]",WIN
gc_be9772e9b79ddcc0,k0,k1,t_api_us,PASS,PASS,1.4004263736350422,"[1.3942469334408645, 1.444059666773792]",WIN
gc_be9772e9b79ddcc0,k0,k2,t_device_op_graph_us,PASS,UNSUPPORTED,,,NOT_COMPARABLE
gc_be9772e9b79ddcc0,k0,k2,t_api_us,PASS,UNSUPPORTED,,,NOT_COMPARABLE
gc_be9772e9b79ddcc0,k0,k3,t_device_op_graph_us,PASS,PASS,1.9890337030107341,"[1.981294341912688, 1.998804008520399]",WIN
gc_be9772e9b79ddcc0,k0,k3,t_api_us,PASS,PASS,1.374390934295903,"[1.3673310254939806, 1.4236361317372792]",WIN
gc_be9772e9b79ddcc0,k1,k2,t_device_op_graph_us,PASS,UNSUPPORTED,,,NOT_COMPARABLE
gc_be9772e9b79ddcc0,k1,k2,t_api_us,PASS,UNSUPPORTED,,,NOT_COMPARABLE
gc_be9772e9b79ddcc0,torch_cuda_tuned,k3,t_device_op_graph_us,PASS,PASS,1.8730319645775881,"[1.8659665730214956, 1.8793607126845129]",WIN
gc_be9772e9b79ddcc0,torch_cuda_tuned,k3,t_api_us,PASS,PASS,1.2325286063485796,"[1.227321431687083, 1.2766458410053887]",WIN
gc_ab680a8f6762e0e0,k0,k1,t_device_op_graph_us,PASS,PASS,3.593187830833638,"[3.587707524853843, 3.602185482050568]",WIN
gc_ab680a8f6762e0e0,k0,k1,t_api_us,PASS,PASS,2.4008875280685356,"[2.367525869693537, 2.4856360883574675]",WIN
gc_ab680a8f6762e0e0,k0,k2,t_device_op_graph_us,PASS,UNSUPPORTED,,,NOT_COMPARABLE
gc_ab680a8f6762e0e0,k0,k2,t_api_us,PASS,UNSUPPORTED,,,NOT_COMPARABLE
gc_ab680a8f6762e0e0,k0,k3,t_device_op_graph_us,PASS,PASS,2.07709373228952,"[1.9481566773619727, 2.0789057558005473]",WIN
gc_ab680a8f6762e0e0,k0,k3,t_api_us,PASS,PASS,2.178618214706444,"[2.0580387132087674, 2.1833921608323283]",WIN
gc_ab680a8f6762e0e0,k1,k2,t_device_op_graph_us,PASS,UNSUPPORTED,,,NOT_COMPARABLE
gc_ab680a8f6762e0e0,k1,k2,t_api_us,PASS,UNSUPPORTED,,,NOT_COMPARABLE
gc_ab680a8f6762e0e0,torch_cuda_tuned,k3,t_device_op_graph_us,PASS,PASS,1.0332162313722986,"[0.970886136282825, 1.0360176899072713]",TIE
gc_ab680a8f6762e0e0,torch_cuda_tuned,k3,t_api_us,PASS,PASS,1.455390731224313,"[1.436109066277926, 1.490821626553428]",WIN
gc_5fa751e3a7f30b52,k0,k1,t_device_op_graph_us,PASS,PASS,3.888953752933444,"[3.883574415240642, 3.9401312581778782]",WIN
gc_5fa751e3a7f30b52,k0,k1,t_api_us,PASS,PASS,4.068860557524433,"[4.06366679719169, 4.132225616962417]",WIN
gc_5fa751e3a7f30b52,k0,k2,t_device_op_graph_us,PASS,UNSUPPORTED,,,NOT_COMPARABLE
gc_5fa751e3a7f30b52,k0,k2,t_api_us,PASS,UNSUPPORTED,,,NOT_COMPARABLE
gc_5fa751e3a7f30b52,k0,k3,t_device_op_graph_us,PASS,PASS,2.059452232476069,"[2.058423505045163, 2.203030054441121]",WIN
gc_5fa751e3a7f30b52,k0,k3,t_api_us,PASS,PASS,2.1352887469962165,"[2.133692386919578, 2.278870912368037]",WIN
gc_5fa751e3a7f30b52,k1,k2,t_device_op_graph_us,PASS,UNSUPPORTED,,,NOT_COMPARABLE
gc_5fa751e3a7f30b52,k1,k2,t_api_us,PASS,UNSUPPORTED,,,NOT_COMPARABLE
gc_5fa751e3a7f30b52,torch_cuda_tuned,k3,t_device_op_graph_us,PASS,PASS,0.524476796403435,"[0.52235745592411, 0.5250309436774339]",LOSS
gc_5fa751e3a7f30b52,torch_cuda_tuned,k3,t_api_us,PASS,PASS,0.6965848517525135,"[0.6796334079822087, 0.7030172682032871]",LOSS
gc_5f016b72a0d68851,k0,k1,t_device_op_graph_us,PASS,PASS,4.575231965734947,"[4.425783647191142, 4.578800460323033]",WIN
gc_5f016b72a0d68851,k0,k1,t_api_us,PASS,PASS,4.643982376532238,"[4.492273829596224, 4.646939607272268]",WIN
gc_5f016b72a0d68851,k0,k2,t_device_op_graph_us,PASS,UNSUPPORTED,,,NOT_COMPARABLE
gc_5f016b72a0d68851,k0,k2,t_api_us,PASS,UNSUPPORTED,,,NOT_COMPARABLE
gc_5f016b72a0d68851,k0,k3,t_device_op_graph_us,PASS,PASS,2.1345130517508024,"[2.133849540331552, 2.1353626750988055]",WIN
gc_5f016b72a0d68851,k0,k3,t_api_us,PASS,PASS,2.153521434707682,"[2.1530350054185328, 2.1542984020456415]",WIN
gc_5f016b72a0d68851,k1,k2,t_device_op_graph_us,PASS,UNSUPPORTED,,,NOT_COMPARABLE
gc_5f016b72a0d68851,k1,k2,t_api_us,PASS,UNSUPPORTED,,,NOT_COMPARABLE
gc_5f016b72a0d68851,torch_cuda_tuned,k3,t_device_op_graph_us,PASS,PASS,0.32465299467635794,"[0.32444795252078373, 0.32474182406262486]",LOSS
gc_5f016b72a0d68851,torch_cuda_tuned,k3,t_api_us,PASS,PASS,0.32409009446386977,"[0.32397073792381115, 0.32419979863847737]",LOSS
gc_ec7e1a0a64ff9301,k0,k1,t_device_op_graph_us,PASS,PASS,1.2088327906860121,"[1.2039487335780434, 1.2149651041089646]",WIN
gc_ec7e1a0a64ff9301,k0,k1,t_api_us,PASS,PASS,1.0236610267177144,"[1.0196793032828935, 1.0287218349579152]",TIE
gc_ec7e1a0a64ff9301,k0,k2,t_device_op_graph_us,PASS,PASS,1.1942655146888201,"[1.188551432598606, 1.1999999830227654]",WIN
gc_ec7e1a0a64ff9301,k0,k2,t_api_us,PASS,PASS,1.0252215869324783,"[1.021761730707349, 1.0276315654044486]",TIE
gc_ec7e1a0a64ff9301,k0,k3,t_device_op_graph_us,PASS,PASS,1.2754909265677088,"[1.2633534308256893, 1.279500303789487]",WIN
gc_ec7e1a0a64ff9301,k0,k3,t_api_us,PASS,PASS,1.0245552085307668,"[1.0209742923616991, 1.0286099491204908]",TIE
gc_ec7e1a0a64ff9301,k1,k2,t_device_op_graph_us,PASS,PASS,0.9879493043955855,"[0.9809919098171688, 0.9894036977523185]",TIE
gc_ec7e1a0a64ff9301,k1,k2,t_api_us,PASS,PASS,1.0015244892342612,"[0.9978762104673368, 1.0059623699025355]",TIE
gc_ec7e1a0a64ff9301,torch_cuda_tuned,k3,t_device_op_graph_us,PASS,PASS,0.9559525178679168,"[0.9483828176891972, 0.9648672825983036]",UNCERTAIN
gc_ec7e1a0a64ff9301,torch_cuda_tuned,k3,t_api_us,PASS,PASS,0.36714249808403865,"[0.36618278155495454, 0.3699854699025289]",LOSS
gc_dfa7d59269e0dcce,k0,k1,t_device_op_graph_us,PASS,PASS,1.4364707361706102,"[1.3623130707821933, 1.4422231411896684]",WIN
gc_dfa7d59269e0dcce,k0,k1,t_api_us,PASS,PASS,1.032941104460431,"[1.029213636540937, 1.049993781622424]",TIE
gc_dfa7d59269e0dcce,k0,k2,t_device_op_graph_us,PASS,PASS,1.3560727763047158,"[1.2942732974004714, 1.358625933769877]",WIN
gc_dfa7d59269e0dcce,k0,k2,t_api_us,PASS,PASS,1.0324253652182922,"[1.0285332310989217, 1.0496736347175695]",TIE
gc_dfa7d59269e0dcce,k0,k3,t_device_op_graph_us,PASS,PASS,1.4442549170456098,"[1.371520127544375, 1.4506198425482326]",WIN
gc_dfa7d59269e0dcce,k0,k3,t_api_us,PASS,PASS,1.0270289371392674,"[1.0149332856918152, 1.0446967040931467]",TIE
gc_dfa7d59269e0dcce,k1,k2,t_device_op_graph_us,PASS,PASS,0.9440309100342539,"[0.9386606674268857, 0.9529389526388926]",UNCERTAIN
gc_dfa7d59269e0dcce,k1,k2,t_api_us,PASS,PASS,0.9995007079881788,"[0.9947436602025594, 1.0102278376343081]",TIE
gc_dfa7d59269e0dcce,torch_cuda_tuned,k3,t_device_op_graph_us,PASS,PASS,1.0073256334591263,"[0.9637492468407517, 1.020517437152693]",TIE
gc_dfa7d59269e0dcce,torch_cuda_tuned,k3,t_api_us,PASS,PASS,0.5018473438297538,"[0.4926538144410852, 0.5072045259176058]",LOSS
gc_3aeb2889e7a3ff86,k0,k1,t_device_op_graph_us,PASS,PASS,1.7348841632906258,"[1.7242838537441196, 1.7710350225324165]",WIN
gc_3aeb2889e7a3ff86,k0,k1,t_api_us,PASS,PASS,1.0490183313210704,"[1.030768457400941, 1.056945615009524]",UNCERTAIN
gc_3aeb2889e7a3ff86,k0,k2,t_device_op_graph_us,PASS,PASS,1.6073044731545774,"[1.5953477437799692, 1.6191771881382195]",WIN
gc_3aeb2889e7a3ff86,k0,k2,t_api_us,PASS,PASS,1.0447621311820054,"[1.038729891985064, 1.0535627544754103]",UNCERTAIN
gc_3aeb2889e7a3ff86,k0,k3,t_device_op_graph_us,PASS,PASS,1.6531303218175437,"[1.6501984990772647, 1.6849755276227747]",WIN
gc_3aeb2889e7a3ff86,k0,k3,t_api_us,PASS,PASS,1.0488052150415683,"[1.0383506394376152, 1.0557243833387924]",UNCERTAIN
gc_3aeb2889e7a3ff86,k1,k2,t_device_op_graph_us,PASS,PASS,0.9264621276534897,"[0.9069912544664571, 0.934360077118201]",LOSS
