shape_id,implementation,status,profile_us,dram_bytes,lts__t_sectors.sum_value,lts__t_sectors.sum_unit,sm__warps_active.avg.pct_of_peak_sustained_active_value,sm__warps_active.avg.pct_of_peak_sustained_active_unit,smsp__warps_eligible.avg.per_cycle_active_value,smsp__warps_eligible.avg.per_cycle_active_unit,smsp__issue_active.avg.pct_of_peak_sustained_active_value,smsp__issue_active.avg.pct_of_peak_sustained_active_unit,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum_value,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum_unit,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum_value,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum_unit,l1tex__t_sectors_pipe_lsu_mem_local_op_ld.sum_value,l1tex__t_sectors_pipe_lsu_mem_local_op_ld.sum_unit,l1tex__t_sectors_pipe_lsu_mem_local_op_st.sum_value,l1tex__t_sectors_pipe_lsu_mem_local_op_st.sum_unit
gc_62e0ae05b7836be7,1,PASS,507.1040000000001,175534720.0,32387798.0,sector,80.8,%,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED
gc_62e0ae05b7836be7,2,PASS,544.768,175579264.0,33176889.0,sector,98.35,%,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED
gc_62e0ae05b7836be7,3,PASS,249.08800000000002,173007104.0,20494864.0,sector,60.82,%,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED
gc_866eddd9507e8dc4,0,PASS,70.11200000000001,12870272.0,1196222.0,sector,57.88,%,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED
gc_866eddd9507e8dc4,1,PASS,40.64,12866560.0,1317634.0,sector,74.14,%,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED
gc_866eddd9507e8dc4,2,PASS,33.344,12868736.0,1247165.0,sector,90.23,%,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED
gc_866eddd9507e8dc4,3,PASS,18.304,12877696.0,1015734.0,sector,57.34,%,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED
gc_8a8acca0747584c4,0,PASS,692.4800000000001,25783808.0,9048302.0,sector,62.47,%,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED
gc_8a8acca0747584c4,1,PASS,214.464,25793024.0,13108633.0,sector,72.33,%,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED
gc_8a8acca0747584c4,2,UNSUPPORTED,,,,,,,,,,,,,,,,,,
gc_8a8acca0747584c4,3,PASS,115.648,25791616.0,8290976.0,sector,62.14,%,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED,NOT_COLLECTED
